Temperature	F_vib	CV_vib	S_vib
K	eV	eV/K	eV/K
875.0	-1.2048468697919663	0.0010276493281556375	0.0024174990287093743
880.0	-1.2169490181026714	0.0010277219073364292	0.0024233548034479514
885.0	-1.2290803632107532	0.0010277932665824973	0.0024291778085645936
890.0	-1.2412407421766858	0.0010278634330444722	0.0024349684065012368
895.0	-1.253429993858284	0.0010279324331228473	0.002440726953758339
900.0	-1.2656479588812644	0.001028000292492703	0.002446453801023084
905.0	-1.2778944796105045	0.0010280670361274475	0.0024521492932942993
910.0	-1.2901694001219073	0.0010281326883216774	0.0024578137700040233
915.0	-1.3024725661748786	0.0010281972727131817	0.0024634475651358406
920.0	-1.3148038251853436	0.001028260812304089	0.002469051007340141
925.0	-1.3271630261994007	0.0010283233294812479	0.0024746244200463435
930.0	-1.3395500198674537	0.0010283848460358727	0.002480168121572236
935.0	-1.3519646584189473	0.001028445383182397	0.0024856824252304397
940.0	-1.3644067956375892	0.0010285049615766963	0.0024911676394321815
945.0	-1.376876286837118	0.0010285636013336206	0.0024966240677883884
950.0	-1.3893729888375073	0.001028621322043883	0.002502052009208193
955.0	-1.401896759941733	0.0010286781427903582	0.0025074517579949424
960.0	-1.4144474599129682	0.0010287340821637627	0.002512823603939811
965.0	-1.4270249499522505	0.0010287891582777952	0.002518167832413038
970.0	-1.4396290926766087	0.0010288433887837446	0.002523484724452907
975.0	-1.4522597520976064	0.001028896790884543	0.002528774556852439
980.0	-1.4649167936003498	0.0010289493813483777	0.00253403760224408
985.0	-1.4776000839228514	0.0010290011765217682	0.0025392741291821275
990.0	-1.4903094911358927	0.0010290521923422239	0.0025444844022232916
995.0	-1.5030448846231974	0.001029102444350448	0.0025496686820051977
1000.0	-1.5158061350620426	0.0010291519477021323	0.00255482722532297
1005.0	-1.5285931144042384	0.0010292007171793089	0.0025599602852041056
1010.0	-1.541405695857451	0.0010292487672013647	0.002565068110981286
1015.0	-1.5542437538669254	0.0010292961118356406	0.0025701509483637363
1020.0	-1.5671071640975471	0.001029342764807688	0.002575209039506664
1025.0	-1.5799958034162318	0.0010293887395111782	0.0025802426230791715
1030.0	-1.592909549874658	0.0010294340490174692	0.0025852519343304596
1035.0	-1.605848282692334	0.0010294787060848706	0.002590237205154636
1040.0	-1.6188118822400015	0.0010295227231675644	0.0025951986641538057
1045.0	-1.6318002300232974	0.0010295661124242975	0.0026001365366998337
1050.0	-1.6448132086667566	0.0010296088857266936	0.0026050510449946427
1055.0	-1.6578507018981443	0.0010296510546673782	0.002609942408129083
1060.0	-1.6709125945330134	0.0010296926305677924	0.002614810842140488
1065.0	-1.683998772459578	0.0010297336244857493	0.0026196565600688625
1070.0	-1.6971091226238826	0.0010297740472227932	0.0026244797720118623
1075.0	-1.7102435330152241	0.0010298139093312412	0.002629280685178457
1080.0	-1.7234018926518166	0.0010298532211210933	0.002634059503941444
1085.0	-1.7365840915667647	0.0010298919926666286	0.002638816429888665
1090.0	-1.7497900207942478	0.001029930233812871	0.0026435516618732668
1095.0	-1.7630195723559854	0.001029967954181799	0.0026482653960626544
1100.0	-1.7762726392479113	0.001030005163178378	0.0026529578259864264
1105.0	-1.7895491154271135	0.0010300418699964102	0.002657629142583303
1110.0	-1.8028488957989923	0.0010300780836241853	0.0026622795342469718
1115.0	-1.8161718762046504	0.0010301138128499573	0.002666909186870863
1120.0	-1.8295179534084973	0.0010301490662672863	0.002671518283892097
1125.0	-1.8428870250860752	0.001030183852280153	0.0026761070063343155
1130.0	-1.8562789898120913	0.0010302181791079716	0.0026806755328497756
1135.0	-1.8696937470486883	0.001030252054790424	0.0026852240397602736
1140.0	-1.883131197133867	0.0010302854871921483	0.0026897527010974823
1145.0	-1.8965912412701347	0.0010303184840072927	0.002694261688642189
1150.0	-1.9100737815133702	0.001030351052763925	0.0026987511719628533
1155.0	-1.923578720761834	0.0010303832008283097	0.0027032213184532304
1160.0	-1.93710596274539	0.0010304149354090806	0.0027076722933693596
1165.0	-1.9506554120149402	0.0010304462635612299	0.002712104259865508
1170.0	-1.9642269739319447	0.0010304771921900485	0.0027165173790297016
1175.0	-1.9778205546582222	0.0010305077280549138	0.0027209118099182196
1180.0	-1.9914360611458723	0.0010305378777729591	0.0027252877095895493
1185.0	-2.0050734011273486	0.0010305676478226627	0.0027296452331375463
1190.0	-2.0187324831057496	0.001030597044547306	0.0027339845337240043
1195.0	-2.032413216345194	0.001030626074158345	0.0027383057626104365
1200.0	-2.046115510861443	0.001030654742738689	0.002742609069189278
1205.0	-2.0598392774126038	0.001030683056245872	0.0027468946010145035
1210.0	-2.073584427490004	0.001030711020515129	0.0027511625038314827
1215.0	-2.0873508733092745	0.0010307386412624169	0.0027554129216063833
1220.0	-2.1011385278014543	0.001030765924087297	0.002759645996554899
1225.0	-2.114947304604367	0.0010307928744757956	0.002763861869170347
1230.0	-2.128777118054026	0.0010308194978031332	0.0027680606782513914
1235.0	-2.1426278831762953	0.0010308457993364081	0.002772242560929006
1240.0	-2.1564995156785556	0.00103087178423718	0.002776407652693054
1245.0	-2.1703919319415856	0.0010308974575640093	0.0027805560874182254
1250.0	-2.1843050490115665	0.001030922824274918	0.0027846879973896063
1255.0	-2.1982387845921774	0.0010309478892297484	0.002788803513327582
1260.0	-2.2121930570368313	0.0010309726571925198	0.0027929027644123788
1265.0	-2.2261677853410724	0.001030997132833654	0.0027969858783080935
1270.0	-2.24016288913497	0.0010310213207321995	0.002801052981186224
1275.0	-2.2541782886758175	0.0010310452253779413	0.0028051041977488114
1280.0	-2.268213904840767	0.001031068851173499	0.002809139651251049
1285.0	-2.28226965911969	0.001031092202436343	0.002813159463523566
1290.0	-2.2963454736080813	0.0010311152834007614	0.0028171637549941992
1295.0	-2.310441271000113	0.001031138098219761	0.00282115264470938
1300.0	-2.324556974581796	0.0010311606509669563	0.0028251262503551098
1305.0	-2.3386925082241983	0.0010311829456383728	0.0028290846882776046
1310.0	-2.3528477963768193	0.0010312049861541913	0.002833028073503414
1315.0	-2.367022764061031	0.0010312267763605005	0.0028369565197592797
1320.0	-2.3812173368636076	0.0010312483200309586	0.0028408701394916445
1325.0	-2.3954314409304405	0.0010312696208684062	0.0028447690438856456
1330.0	-2.4096650029602054	0.0010312906825064823	0.002848653342883902
1335.0	-2.423917950198219	0.0010313115085111423	0.002852523145204942
