#my paper
#001
0.194792	2.00535
0.292218	2.98396
0.394309	3.81818
0.492138	4.47594
0.590006	5.1016
0.687975	5.64706
0.7371	5.80749
0.79069	5.98396
0.835532	5.98396
0.889061	6.20856
0.938387	6.20856
0.987653	6.25668
0.984798	8.53476
0.939835	8.63102
0.881661	8.53476
0.832395	8.48663
0.78327	8.3262
0.68512	7.92513
0.587211	7.33155
0.485079	6.52941
0.392138	5.5508
0.290448	4.39572
0.193404	3.1123
0.0965413	1.68449


#011
0.2	1.94812
0.298413	2.80143
0.396825	3.60644
0.498413	4.36315
0.6	4.99106
0.698413	5.58676
0.8	5.98927
0.898413	6.26297
0.952381	6.35957
0.901587	6.55277
0.850794	6.74597
0.8	6.85868
0.749206	7.30948
0.698413	7.40608
0.650794	7.48658
0.6	7.67979
0.549206	7.69589
0.498413	7.64758
0.396825	7.26118
0.298413	6.08587
0.196825	4.42755
0.101587	2.31843
0.0984127	1.27191
0.2	2.75313
0.301587	4.12165
0.396825	5.50626
0.498413	6.15027
0.6	6.85868
0.650794	7.22898
0.698413	7.67979
0.749206	7.93739
0.8	8.13059
0.898413	8.53309


#111
0.197917	1.30179
0.302083	1.86429
0.401042	2.44286
0.5	2.98929
0.604167	3.35893
0.703125	3.74464
0.75	3.87321
0.802083	4.00179
0.848958	4.09821
0.901042	4.24286
0.953125	4.22679
1.00	4.22679
0.197917	3.05357
0.296875	4.37143
0.401042	5.59286
0.5	6.60536
0.598958	7.44107
0.697917	8.13214
0.807292	8.51786
0.854167	8.59821
0.901042	8.79107
0.953125	8.56607
1.00	8.87143

