Titanium Oxide, Anatase (TiO2)	O2Ti1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	98.659	84.026	84.026	0.000	-2023.951	-1909.475	334.532
300	99.119	84.638	84.028	0.183	-2023.961	-1908.764	332.345
400	114.642	115.379	88.114	10.906	-2023.861	-1870.349	244.243
500	125.938	142.241	96.311	22.965	-2022.823	-1832.076	191.396
600	133.679	165.925	105.980	35.967	-2021.207	-1794.071	156.188
700	138.825	186.935	116.073	49.603	-2019.294	-1756.364	131.061
800	142.674	205.738	126.127	63.689	-2017.241	-1718.942	112.235
900	145.268	222.698	135.931	78.091	-2015.160	-1681.779	97.608
1000	147.277	238.112	145.390	92.723	-2013.119	-1644.847	85.918
1100	148.741	252.222	154.470	107.528	-2011.159	-1608.115	76.363
1200	149.704	265.209	163.164	122.454	-2013.031	-1571.335	68.398
1300	150.164	277.211	171.481	137.449	-2010.811	-1534.618	61.662
1400	150.415	288.349	179.436	152.478	-2008.702	-1498.068	55.894
1500	150.624	298.735	187.047	167.532	-2006.718	-1461.664	50.900
1600	150.624	308.456	194.335	182.595	-2004.883	-1425.388	46.534
1700	150.624	317.588	201.319	197.657	-2053.390	-1388.775	42.672
1800	150.624	326.197	208.020	212.719	-2051.665	-1349.731	39.168
1900	150.624	334.341	214.456	227.782	-2050.081	-1310.778	36.036
2000	150.624	342.067	220.645	242.844	-2048.650	-1271.905	33.219
2100	150.624	349.416	226.603	257.907	-2047.382	-1233.100	30.672
2200	150.624	356.423	232.346	272.969	-2067.609	-1193.604	28.340
2300	150.624	363.118	237.887	288.031	-2067.111	-1153.889	26.206
2400	150.624	369.529	243.240	303.094	-2066.658	-1114.194	24.250
2500	150.624	375.678	248.415	318.156	-2066.249	-1074.516	22.451
2600	150.624	381.585	253.424	333.219	-2065.883	-1034.854	20.790
2700	150.624	387.270	258.277	348.281	-2065.559	-995.205	19.253
2800	150.624	392.748	262.982	363.343	-2065.275	-955.567	17.826
2900	150.624	398.033	267.549	378.406	-2065.032	-915.940	16.498
3000	150.624	403.140	271.984	393.468	-2064.827	-876.320	15.258


Magnesium Aluminum Oxide (MgAl2O4)	Al2Mg1O4(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	8.075	INFINITE	-15.411	-2283.075	-2283.075	INFINITE
100	22.669	16.757	164.497	-14.774	-2289.857	-2254.524	1177.642
200	78.069	49.819	98.221	-9.681	-2296.197	-2216.480	578.885
298.15	116.198	88.692	88.692	0.	-2299.108	-2176.621	381.335
300	116.533	89.412	88.695	0.215	-2299.137	-2175.861	378.851
400	137.988	126.244	93.571	13.069	-2299.797	-2134.626	278.754
500	149.829	158.409	103.398	27.506	-2299.410	-2093.365	218.692
600	157.887	186.474	114.956	42.911	-2298.562	-2052.230	178.663
700	164.155	211.299	126.980	59.023	-2297.527	-2011.255	150.082
800	169.473	233.573	138.935	75.710	-2296.463	-1970.433	128.656
900	174.238	253.814	150.592	92.899	-2295.485	-1929.739	111.999
1000	178.657	272.403	161.856	110.546	-2324.450	-1886.914	98.562
1100	182.853	289.629	172.698	128.623	-2323.172	-1843.219	87.527
1200	186.895	305.713	183.120	147.112	-2321.562	-1799.655	78.337
1300	190.828	320.829	193.137	165.999	-2319.622	-1756.239	70.567
1400	194.686	335.112	202.773	185.275	-2444.763	-1709.818	63.794
1500	198.485	348.674	212.051	204.934	-2440.816	-1657.458	57.718
1600	202.238	361.604	220.997	224.970	-2436.542	-1605.372	52.410
1700	205.962	373.976	229.635	245.381	-2431.944	-1553.563	47.735
1800	209.652	385.853	237.986	266.162	-2427.024	-1502.034	43.588
1900	213.325	397.287	246.071	287.311	-2421.783	-1450.787	39.885
2000	216.982	408.322	253.909	308.826	-2416.221	-1399.824	36.560
2100	220.622	418.997	261.518	330.706	-2410.341	-1349.148	33.558
2200	224.254	429.344	268.912	352.950	-2404.143	-1298.758	30.836
2300	227.877	439.393	276.107	375.557	-2397.627	-1248.658	28.358
2400	231.488	449.167	283.115	398.525	-2390.796	-1198.849	26.092
2408.000	231.777	449.938	283.668	400.378	CRYSTAL <--> LIQUID
2500	235.095	458.690	289.949	421.854	2383.648  1149.330 24.014
2600	238.697	467.981	296.618	445.544	-2376.185	-1100.104	22.101
2700	242.291	477.057	303.133	469.594	-2368.406	-1051.170	20.336
2800	245.885	485.934	309.504	494.002	-2948.114	-1000.595	18.666


Silicon Nitride, Alpha (Si3N4)	N4Si3(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	99.533	112.967	112.967	0.	-744.752	-647.343	113.412
300	99.788	113.583	112.969	0.184	-744.787	-646.739	112.607
400	110.667	143.790	117.014	10.711	-746.459	-613.792	80.153
500	120.708	169.582	125.007	22.288	-747.595	-580.482	60.643
600	129.704	192.417	134.374	34.826	-748.151	-546.998	47.620
700	138.072	213.048	144.162	48.220	-748.186	-513.462	38.315
800	145.812	232.003	153.973	62.424	-747.729	-479.956	31.338
900	152.298	249.566	163.631	77.342	-746.850	-446.533	25.916
1000	158.155	265.920	173.051	92.869	-745.635	-413.227	21.585
1100	163.678	281.258	182.198	108.966	-744.100	-380.058	18.047
1200	168.490	295.712	191.061	125.581	-742.280	-347.041	15.106
1300	172.531	309.362	199.641	142.637	-740.233	-314.187	12.624
1400	175.920	322.276	207.944	160.065	-738.019	-281.496	10.503
1500	178.657	334.510	215.977	177.799	-735.694	-248.968	8.670
1600	180.548	346.102	223.751	195.762	-733.327	-216.597	7.071
1700	182.171	357.098	231.274	213.900	-881.495	-183.033	5.624
1800	183.452	367.548	238.557	232.183	-878.469	-142.034	4.122
1900	184.539	377.496	245.610	250.584	-875.367	-101.205	2.782
2000	185.435	386.986	252.444	269.084	-872.202	-60.541	1.581
2100	185.780	396.041	259.068	287.645	-869.010	-20.037	0.498
2200	186.111	404.692	265.492	306.240	-865.814	20.316	-0.482
2300	186.429	412.972	271.725	324.867	-862.612	60.523	-1.375
2400	186.734	420.913	277.777	343.525	-859.403	100.590	-2.189
2500	187.025	428.541	283.656	362.213	-856.187	140.524	-2.936
2600	187.303	435.882	289.371	380.930	-852.962	180.329	-3.623
2700	187.567	442.956	294.929	399.673	-849.729	220.009	-4.256
2800	187.818	449.782	300.338	418.443	-846.487	259.570	-4.842
2900	188.056	456.377	305.606	437.236	-843.236	299.015	-5.386
3000	188.280	462.756	310.738	456.053	-839.977	338.347	-5.891


Chromium (Cr)	Cr1(ref)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-4.057	0.	0.	0.
100	9.963	4.286	41.746	-3.746	0.	0.	0.
200	19.860	14.869	25.680	-2.162	0.	0.	0.
298.15	23.434	23.618	23.618	0.	0.	0.	0.
300	23.472	23.764	23.619	0.043	0.	0.	0.
311.500	23.681	24.651	23.641	0.315	Cp LAMBDA MAXIMUM
311.500	23.681	24.654	23.641	0.316	TRANSITION
400	25.230	30.765	24.562	2.481	0.	0.	0.
500	26.631	36.553	26.398	5.078	0.	0.	0.
600	27.719	41.508	28.513	7.797	0.	0.	0.
700	28.577	45.846	30.686	10.612	0.	0.	0.
800	29.434	49.715	32.827	13.511	0.	0.	0.
900	30.501	53.241	34.902	16.505	0.	0.	0.
1000	31.861	56.523	36.901	19.621	0.	0.	0.
1100	33.472	59.634	38.828	22.887	0.	0.	0.
1200	35.187	62.618	40.687	26.318	0.	0.	0.
1300	37.116	65.511	42.485	29.933	0.	0.	0.
1400	39.125	68.334	44.231	33.744	0.	0.	0.
1500	41.200	71.104	45.931	37.760	0.	0.	0.
1600	43.329	73.831	47.589	41.986	0.	0.	0.
1700	45.501	76.523	49.212	46.427	0.	0.	0.
1800	47.706	79.186	50.804	51.087	0.	0.	0.
1900	49.944	81.825	52.367	55.970	0.	0.	0.
2000	52.204	84.444	53.905	61.077	0.	0.	0.
2100	54.488	87.046	55.422	66.411	0.	0.	0.
2130.000	55.174	87.824	55.873	68.056	CRYSTAL <--> LIQUID
2130.000	39.330	97.449	55.873	88.558	TRANSITION
2200	39.330	98.721	57.216	91.311	0.	0.	0.
2300	39.330	100.469	59.059	95.244	0.	0.	0.
2400	39.330	102.143	60.819	99.177	0.	0.	0.
2500	39.330	103.749	62.505	103.110	0.	0.	0.
2600	39.330	105.291	64.121	107.043	0.	0.	0.
2700	39.330	106.775	65.673	110.976	0.	0.	0.
2800	39.330	108.206	67.167	114.909	0.	0.	0.
2900	39.330	109.586	68.606	118.842	0.	0.	0.
2952.078	39.330	110.286	69.335	120.890	LIQUID <--> IDEAL GAS
2952.078	30.533	225.302	69.335	460.427	FUGACITY = 1 bar
3000	30.788	225.796	71.830	461.897	0.	0.	0.
3100	31.302	226.814	76.813	465.001	0.	0.	0.
3200	31.796	227.815	81.517	468.156	0.	0.	0.
3300	32.275	228.801	85.965	471.360	0.	0.	0.
3400	32.745	229.772	90.180	474.611	0.	0.	0.
3500	33.212	230.728	94.182	477.909	0.	0.	0.
3600	33.680	231.670	97.988	481.253	0.	0.	0.
3700	34.156	232.599	101.614	484.645	0.	0.	0.
3800	34.646	233.516	105.073	488.085	0.	0.	0.
3900	35.157	234.423	108.378	491.575	0.	0.	0.
4000	35.692	235.320	111.540	495.117	0.	0.	0.
4100	36.260	236.208	114.570	498.715	0.	0.	0.
4200	36.864	237.089	117.477	502.370	0.	0.	0.
4300	37.511	237.964	120.269	506.089	0.	0.	0.
4400	38.205	238.834	122.954	509.874	0.	0.	0.
4500	38.954	239.701	125.538	513.732	0.	0.	0.
4600	39.760	240.566	128.030	517.667	0.	0.	0.
4700	40.632	241.430	130.433	521.686	0.	0.	0.
4800	41.572	242.295	132.755	525.795	0.	0.	0.
4900	42.587	243.163	134.999	530.003	0.	0.	0.
5000	43.681	244.034	137.171	534.315	0.	0.	0.
5200	44.964	245.697	141.308	542.822	0.	0.	0.
5400	47.221	247.435	145.206	552.036	0.	0.	0.
5600	49.697	249.197	148.889	561.724	0.	0.	0.
5800	52.370	250.986	152.378	571.925	0.	0.	0.
6000	55.230	252.809	155.696	582.682	0.	0.	0.

