#Touloukian et al, vol. 13
# T  a  l/l0 (%)
20 -0.022 0.0
25 -0.022 0.0
50 -0.022 -0.2
75 -0.023 -0.5
100 -0.024 -0.4
150 -0.024 0.5
200 -0.019 1.5
250 -0.010 2.2
293 0  2.6
400 0.033 3.2
500 0.066 3.5
600  0.102 3.7
700  0.141 3.9
800  0.181 4.1
900  0.223 4.3
1000 0.266 4.4
1200 0.356 4.6
1400 0.448 4.6
1600 0.540 4.7
